1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
70 0 10 0.0499616 59.7018 0.903467 0.0253601 123.4 0 0.568291 0.00711208 315.651 0.0516649 0.0340196 53.9386 5.76318 
71 0 10 0.0126467 62.4766 0.881523 0 86.483 0 0.644573 2.4235e-05 84.1696 0.00965594 0.0348996 55.0746 7.40203 
72 0 10 0.0233155 20.5414 0.528302 0.0272048 81.8261 0 0.601147 0.0356686 76.648 0.0235209 0.0230855 10.852 9.68932 
73 0 10 0.0259598 23.1727 0.65461 0.103854 59.2995 0 0.57147 0.156015 53.3029 0.0202023 0.0368719 15.1691 8.00361 
74 0 10 0.0543356 22.1558 0.72231 0.044152 31.447 0 0.732862 0.18554 44.6396 0.0291519 0.119842 16.0034 6.15243 
75 0 10 0.177695 23.8735 0.670576 0 55.3765 0 0.650546 1.23937e-05 60.6781 0.0303814 0.477568 16.009 7.86451 
76 0 10 0.0353001 26.6346 0.636302 0.032479 51.9274 0 0.743925 0.00907027 107.033 0.0345691 0.0365791 16.9477 9.68696 
77 1 10 0.0356346 20.1213 0.67739 0 31.7454 3.62845 0.750094 8.05634e-06 42.9591 0.0348052 0.0373762 13.63 6.49134 
78 0 9 0.0281737 15.228 0.672749 0 36.1314 0 0.797704 7.38071e-06 41.9909 0.0323242 0.0196412 10.2446 4.9834 
79 0 9 0.0418815 15.6169 0.729387 0.00186526 31.1679 0 0.763476 0.00203842 41.5224 0.0451192 0.033155 11.3908 4.22613 
80 0 9 0.0382561 17.4264 0.595692 0.0098543 23.0432 0 0.630918 0.00348463 30.6547 0.0319605 0.0475319 10.3808 7.04563 
-1 17 560 0.0359943 1344.87 0.579221 0.0102782 4981.96 66.7487 0.558606 0.0273806 5197.14 0.0298101 0.044507 778.976 565.892 
1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
