1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
5 0 10 0.0089162 28.4786 0.769644 0.0310478 70.8447 0 -nan inf 0 0.00642984 0.0172234 21.9184 6.56022 
6 0 10 0.0698657 41.7601 0.472861 0 79.8339 0 0.568603 0.00497751 174.242 0.0436397 0.0933912 19.7467 22.0134 
7 0 10 0.0205003 56.3358 0.489794 0.0325434 59.8248 0 -nan inf 0 0.0150395 0.0257427 27.5929 28.7429 
8 1 10 0.0478895 17.0313 0.165453 0 67.042 0 0.274622 0.00320991 88.4629 0.0410223 0.0492509 2.81788 14.2135 
9 0 9 0.0368783 27.2546 0.523471 0.0175791 59.9569 0 -nan inf 0 0.0401062 0.0333325 14.267 12.9876 
10 3 9 -nan 0 -nan 0.00233612 47.9354 2.82441 0.187785 0.0038209 6.64687 -nan -nan 0 0 
11 0 6 0.043751 2.83917 0.0536213 0 56.5175 0 0.0983219 0.00105528 67.993 0.0412146 0.0438947 0.15224 2.68693 
12 0 6 0.0499412 2.85386 0.0555438 0.00343302 62.6684 0 0.0884743 0.0283398 76.8435 0.0406025 0.0504904 0.158514 2.69535 
13 0 6 0.0452008 2.99499 0.0550755 0 82.6194 0 0.0833508 0.000740172 101.739 0.0586361 0.0444177 0.16495 2.83004 
14 0 6 0.0517941 3.13036 0.0557835 0 105.265 0 0.136035 0.00063063 125.186 0.07 0.0507185 0.174622 2.95574 
15 0 7 0.0418456 3.2925 0.056749 0 129.032 0 0.128707 0.000481332 152.23 0.0406025 0.0419204 0.186846 3.10565 
16 0 7 0.0600144 3.43027 0.0566813 0 195.918 0 0.384119 0.000378984 276.254 0.07 0.0594144 0.194432 3.23584 
17 0 10 0.0678073 45.7164 0.924879 0.00164342 217.123 0 0.424101 0.00110329 321.49 0.0698355 0.0428372 42.2821 3.43427 
18 1 10 0.0532513 12.8602 0.185093 0 246.411 6.05595 0.233731 0.000308652 269.642 0.0431726 0.0555405 2.38034 10.4799 
19 0 9 0.0500428 14.4929 0.191017 0 266.79 0 0.238902 0.000234598 292.821 0.0562067 0.0485874 2.76839 11.7245 
20 0 9 0.0516456 15.3585 0.21883 0 281.27 0 0.234049 0.000180387 307.629 0.0636352 0.0482869 3.36089 11.9976 
21 0 9 0.0615044 18.3523 0.220892 0 206.66 0 0.221274 0.00015923 239.598 0.0613343 0.0615526 4.05386 14.2984 
22 0 9 0.0577206 14.0353 0.252096 0 248.182 0 0.224569 0.00011359 268.034 0.0490807 0.0606329 3.53825 10.497 
23 0 9 0.0611348 14.8864 0.240298 0 268.025 0 0.223436 8.74876e-05 293.344 0.0578081 0.062187 3.57719 11.3092 
24 0 9 0.0584626 15.8237 0.224702 0 303.939 0 0.435589 5.82077e-05 412.47 0.0551605 0.0594197 3.5556 12.2681 
25 0 10 0.0649543 64.8872 0.790946 0.00793947 264.716 0 0.528498 0.00122999 506.682 0.0690957 0.0492853 51.3222 13.5649 
26 0 10 0.0619485 69.192 0.795291 0.0128702 159.855 0 0.291601 0.00511411 203.47 0.0631669 0.0572152 55.0278 14.1642 
27 0 10 0.057849 58.2227 0.634617 0.0020066 155.121 0 0.464061 0.00296461 325.57 0.0597929 0.0544728 36.9492 21.2736 
28 0 10 0.0476268 56.6259 0.6119 0.00276294 113.09 0 0.321457 0.00402802 145.272 0.0452131 0.0514322 34.6494 21.9765 
29 0 10 0.0507061 80.6528 0.540683 0 182.076 0 0.447499 1.92173e-05 413.787 0.0508648 0.0505194 43.6076 37.0452 
30 0 10 0.0491508 87.8488 0.606225 0 165.96 0 0.420759 1.75479e-05 298.557 0.0467594 0.0528323 53.2562 34.5927 
31 0 10 0.0491703 117.879 0.536602 0.00716165 185.084 0 0.417506 0.0143486 414.335 0.0502431 0.047928 63.2543 54.625 
32 0 10 0.0625011 154.062 0.615466 0 239.181 0 0.514521 1.07777e-05 582.042 0.0506344 0.0814944 94.8201 59.2422 
33 0 10 0.0482503 151.403 0.604452 0.0548011 181.323 0 0.469163 0.0081611 266.882 0.0478777 0.0488195 91.5158 59.8872 
34 0 10 0.119543 131.673 0.586669 0 208.335 0 0.641659 6.45125e-06 432.986 0.0479586 0.221148 77.2486 54.4246 
35 0 10 0.043106 125.521 0.550182 0.0219392 182.183 0 0.507623 0.00317616 286.477 0.0446979 0.0411589 69.0597 56.4617 
36 0 10 0.13628 140.267 0.630542 0.00534204 180.236 0 0.634839 0.00167598 360.518 0.0503777 0.282887 88.444 51.8227 
37 1 10 0.0462632 122.989 0.692811 0.00264953 174.973 27.3372 0.556406 0.00661107 270.474 0.0464826 0.0457685 85.2079 37.7808 
38 0 9 0.0477262 168.31 0.73802 0 219.173 0 0.56203 2.41603e-06 574.019 0.0470429 0.0496513 124.216 44.0938 
39 0 9 0.0468526 150.779 0.715391 0 266.525 0 0.586211 2.30561e-06 488.614 0.0463985 0.0479941 107.866 42.913 
40 0 9 0.0455887 156.423 0.715159 0 338.058 0 0.608021 1.65215e-06 640.056 0.0474934 0.0408065 111.867 44.5557 
