1 0 10 -nan 0 -nan 0 100 0 -nan inf 0 -nan -nan 0 0 2.9998
74 0 10 0.0225988 98.7672 0.611602 0 180.294 0 0.667293 1.37732e-05 221.863 0.0231663 0.0217052 60.4062 38.361 2.9998
75 0 10 0.0276308 111.54 0.687867 0 193.125 0 0.519035 9.00959e-06 243.099 0.0274443 0.028042 76.7247 34.8154 2.9998
76 0 10 0.0286801 112.619 0.735236 0 180.256 0 0.568655 1.00717e-05 269.051 0.0270288 0.0332654 82.8013 29.8174 2.9998
77 0 10 0.0354089 139.207 0.584765 0 151.178 0 0.525789 8.14289e-06 222.193 0.0370793 0.0330564 81.4032 57.8035 2.9998
78 0 10 0.0291085 136.482 0.561992 0 136.773 0 0.497755 8.86618e-06 148.313 0.031826 0.0256218 76.7018 59.7801 2.9998
79 1 10 0.0213162 37.6969 0.752896 2.07153e-06 108.276 14.0521 0.662098 7.92197e-06 121.598 0.0213392 0.0212462 28.3819 9.31506 2.9998
80 0 9 0.0253244 46.3898 0.581854 0 110.507 0 0.593006 6.92131e-06 126.042 0.018836 0.0343532 26.9921 19.3977 2.9998
-1 9 750 0.0147498 4074.68 0.599099 7.13551e-05 12177.6 44.502 0.470755 0.00140158 11769.9 0.0154112 0.0137615 2441.14 1633.55 2.99971
1 0 10 -nan 0 -nan 0 100.377 0 -nan inf 0 -nan -nan 0 0 2.9998
2 0 10 -nan 0 -nan 0 74.0367 0 -nan inf 0 -nan -nan 0 0 2.9998
3 0 10 -nan 0 -nan 0 74.0367 0 -nan inf 0 -nan -nan 0 0 2.9998
4 0 10 0.00729 5.71592 0.659981 0 74.0367 0 -nan inf 0 0.00729 0.00729 3.7724 1.94352 2.9998
5 0 10 0.00673405 19.3417 0.474958 0 68.2833 0 -nan inf 0 0.00684992 0.00662923 9.18648 10.1552 2.9998
6 0 10 0.00639473 32.3172 0.562586 0 91.3442 0 -nan inf 0 0.00627942 0.00654305 18.1812 14.136 2.9998
7 0 10 0.00729 43.5245 0.547845 0 81.9515 0 0.52381 0.0484401 14.0292 0.00729 0.00729 23.8447 19.6799 2.9998
8 0 10 0.00538204 50.5367 0.529239 0 159.639 0 0.606061 0.0660846 17.9477 0.00497454 0.00584016 26.746 23.7907 2.9998
9 0 10 0.0142236 56.7302 0.650846 0 150.666 0 0.466667 0.51682 1.71342 0.0142236 0.0142236 36.9226 19.8076 2.9998
10 0 10 0.00568148 12.029 0.64744 0 160.088 0 0.576524 0.0104629 101.108 0.00636203 0.00443172 7.78803 4.24093 2.9998
11 0 10 0.0126979 20.6892 0.760807 0 145.692 0 0.576041 0.0143048 54.6731 0.0126554 0.0128331 15.7405 4.94871 2.9998
12 0 10 0.00967994 24.8295 0.711386 0 161.201 0 0.565914 0.013746 56.8029 0.00975855 0.00948618 17.6634 7.16615 2.9998
13 0 10 0.0135537 39.6856 0.75594 0 142.972 0 0.548009 0.0159036 38.0515 0.0139594 0.0122971 30 9.68566 2.9998
14 0 10 0.0118838 16.2273 0.439735 0 111.899 0 0.465496 0.00666201 76.6067 0.0162517 0.00845546 7.13572 9.09161 2.9998
15 0 10 0.0220052 17.7898 0.378913 0 221.203 0 0.512975 0.0100759 88.318 0.0217183 0.0221803 6.74079 11.049 2.9998
16 0 10 0.0113489 17.4677 0.417768 0 217.478 0 0.514863 0.00919994 84.0546 0.0101082 0.012239 7.29746 10.1703 2.9998
17 0 10 0.0180158 24.4581 0.57337 0 176.985 0 0.504917 0.0176096 29.0395 0.0183588 0.0175548 14.0235 10.4346 2.9998
18 0 10 0.0141758 25.509 0.495975 0 172.41 0 0.483054 0.00368155 172.76 0.0151124 0.0132542 12.6518 12.8572 2.9998
19 0 10 0.0147927 26.1575 0.588026 0 177.221 0 0.449282 0.0025331 232.515 0.0173788 0.0111014 15.3813 10.7762 2.9998
20 0 10 0.0171252 47.7014 0.731743 0 194.197 0 0.460128 0.0023755 227.561 0.017648 0.0156989 34.9051 12.7962 2.9998
21 0 10 0.0109798 52.4778 0.716874 0 154.251 0 0.478351 0.00215914 185.469 0.00989338 0.0137305 37.6199 14.8578 2.9998
22 0 10 0.0146419 67.9038 0.70089 0.0015568 107.789 0 0.489368 0.00239068 96.8139 0.014457 0.0150753 47.5931 20.3107 2.99948
23 0 10 0.0159219 56.7797 0.682457 0.0059315 71.1813 0 0.467533 0.00427712 32.5573 0.0152443 0.0173782 38.7497 18.03 2.99237
24 0 10 0.0241313 29.0089 0.432261 0.00141331 45.4446 0 0.516378 0.00199924 69.3281 0.016161 0.0301997 12.5394 16.4695 2.99952
25 0 10 0.0215484 23.2489 0.263638 0 46.9526 0 0.544933 0.00128512 60.8508 0.0203864 0.0219644 6.12931 17.1196 2.9998
26 0 10 0.0253778 7.20817 0.176188 0 39.7249 0 0.487725 0.00168117 42.7992 0.0297388 0.0244451 1.26999 5.93818 2.9998
27 0 10 0.03543 12.9282 0.4895 0 36.1852 0 0.396522 0.00112304 41.3986 0.0343041 0.0365096 6.32834 6.59984 2.9998
28 0 10 0.0186365 11.6488 0.482367 0 33.405 0 0.517578 0.000991266 42.4331 0.0202569 0.0171264 5.61898 6.02979 2.9998
29 0 10 0.029529 12.4198 0.534095 0 32.2617 0 0.511196 0.00100932 37.801 0.0319484 0.0267556 6.63336 5.78646 2.9998
30 0 10 0.0280803 14.496 0.571019 0 40.1822 0 0.513984 0.000841673 49.792 0.0300736 0.025427 8.27751 6.21851 2.9998
31 0 10 0.0264691 16.2006 0.693047 0 46.1537 0 0.498678 0.000747476 52.492 0.0272411 0.024726 11.2278 4.97281 2.9998
32 0 10 0.0304093 16.6226 0.678325 0 43.654 0 0.521672 0.000673854 57.7401 0.0255721 0.0406096 11.2755 5.34708 2.9998
33 0 10 0.0428875 19.2748 0.60475 0 42.4294 0 0.530302 0.000619247 61.9881 0.0462628 0.0377232 11.6564 7.61837 2.9998
34 0 10 0.0140597 27.5734 0.660909 0 55.4393 0 0.444644 0.000552056 68.1556 0.0145715 0.0130622 18.2235 9.34987 2.9998
35 0 10 0.030665 34.5737 0.725801 0 60.8533 0 0.485325 0.000489462 84.6898 0.0304622 0.0312016 25.0936 9.48005 2.9998
36 0 10 0.0241715 38.0281 0.733115 0 52.0565 0 0.45411 0.000489204 53.3912 0.0216887 0.0309914 27.879 10.1492 2.9998
37 0 10 0.0210775 39.0405 0.682873 7.62042e-06 38.1555 0 0.517099 0.00048523 51.8165 0.0220546 0.0189734 26.6597 12.3808 2.9998
38 0 10 0.0249079 31.1387 0.540354 0 47.7282 0 0.40887 0.00048029 59.59 0.0246964 0.0251566 16.8259 14.3128 2.9998
39 0 10 0.0311485 33.1131 0.552198 0 39.9304 0 0.488937 0.000403061 56.4116 0.0320644 0.030019 18.285 14.8281 2.9998
40 0 10 0.0290537 31.0637 0.606733 0 34.251 0 0.455822 0.000372932 42.403 0.0318189 0.0247875 18.8474 12.2163 2.9998
41 0 10 0.0388782 29.437 0.51293 0 33.1025 0 0.576462 0.000343746 53.5717 0.0390248 0.0387238 15.0991 14.3379 2.9998
42 0 10 0.0194928 30.1163 0.556958 0 30.1126 0 0.475407 0.000317617 17.3711 0.0243528 0.0133832 16.7735 13.3428 2.9998
43 0 10 0.0309714 16.2464 0.656323 0 61.81 0 0.616226 0.000268593 69.2045 0.0321484 0.0287238 10.6629 5.5835 2.9998
